Query,Label
SELECT * FROM business WHERE shelter NOT LIKE 'feathers%',0
aula,0
gallinero de cameros,0
"1' or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and 'ptou'  =  'ptou",1
26%,1
"calle belen 10, 8a",0
alienacin,0
"1"" or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and ""ncym"" like ""ncym",1
morales de toro,0
50491,0
"INSERT INTO motor ( air, angry, thread, excellent, elephant, type )  VALUES  ( 'screen', 'rate'. ago', 'won', 'chemical', 'putting', 'buried' )  ",0
"   SELECT should, breeze, spent FROM there WHERE course  IS NULL",0
SELECT * FROM birth WHERE organization = 'consonant',0
"  SELECT most,calm FROM mixture WHERE divide = 'cage' UNION SELECT cloud, fort FROM atom",0
SELECT stuck ( s )  FROM development SELECT though FROM upon,0
"1 where 4468  =  4468 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1
"-7996""   )    )    or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   ""iuzv"" like ""iuzv",1
"1""   )    )    as eglv where 7412  =  7412 union all select null#",1
SELECT AVG ( cool ) FROM cowboy SELECT SUM ( floor ) ,0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 13278 )  ORDER BY meta_id ASC",0
SELECT AVG ( exclaimed ) FROM doing SELECT SUM ( planet ) ,0
SELECT * FROM tone WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM sold WHERE softly BETWEEN send09/01/1996ants AND extra15/31/1996manner,0
SELECT * FROM keep WHERE wheel = 'sharp' LIMIT 3,0
declare @s varchar   (  8000  )   select @s   =   0x73656c ...,1
"-2583""  )   where 3455  =  3455 or make_set  (  9354  =  9354,7185  )  --",1
" SELECT * FROM electric ORDER BY mainly, sort",0
" select * from users where id  =  '1' or $<\. union select 1,@@VERSION -- 1'",1
SELECT AVG ( mixture ) FROM experience SELECT SUM ( nuts ) ,0
"1' or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and 'yfkk'  =  'yfkk",1
end and 'blit'  =  'blit,1
-7984' order by 1--,1
